timestamp          , endpoint_name, endpoint_type, source_ip   , destination_ip, protocol, traffic_rate, bandwidth, packet_count, connections, latency, packet_loss, cpu_utilization, label  , anomaly_type
2026-09-01 14:12:59, Printer-03   , Printer      , 192.168.1.52, 192.168.1.50  , ICMP    ,        91.68,    109.73,           99,          10,   71.85,        2.27,           27.86, Normal , None
2026-09-01 14:13:00, Laptop-09    , Laptop       , 192.168.1.28, 192.168.1.100 , ICMP    ,       486.08,    435.89,          455,          12,   19.7 ,        1.67,           30.76, Normal , None
2026-09-01 14:13:01, Laptop-05    , Laptop       , 192.168.1.24, 192.168.1.50  , TCP     ,       476.36,    436.65,          416,          24,   15.32,        1.45,           13.44, Normal , None
2026-09-01 14:13:02, Smartphone-09, Smartphone   , 192.168.1.38, 192.168.1.50  , UDP     ,       123.84,    116.78,          112,          30,   78.35,        2.95,           16.8 , Normal , None
2026-09-01 14:13:03, Desktop-04   , Desktop      , 192.168.1.13, 192.168.1.100 , ICMP    ,       268.17,    318.92,          274,          21,   27.76,        0.28,           31.32, Normal , None
2026-09-01 14:13:04, Server-05    , Server       , 192.168.1.44, 192.168.1.20  , UDP     ,      3216.64,   2904.73,         3542,         464,  199.99,        1.86,           27.84, Anomaly, High Latency
2026-09-01 14:13:05, Laptop-08    , Laptop       , 192.168.1.27, 8.8.8.8       , ICMP    ,       687.64,    557.56,          630,          34,   24.87,        0.83,           11.41, Normal , None
2026-09-01 14:13:06, IoT-Sensor-05, IoT Sensor   , 192.168.1.57, 192.168.1.100 , TCP     ,        45.05,     51.28,           45,         152,   95.25,        2.68,           27.58, Anomaly, Excessive Connections
2026-09-01 14:13:07, Laptop-10    , Laptop       , 192.168.1.29, 192.168.1.100 , TCP     ,       112.82,    131.11,           97,          30,  313.8 ,        0.79,           36.01, Anomaly, High Latency
2026-09-01 14:13:08, Desktop-08   , Desktop      , 192.168.1.17, 192.168.1.100 , UDP     ,       665.13,    610.64,          551,          29,   45.2 ,        1.75,           60.89, Normal , None
2026-09-01 14:13:09, Server-05    , Server       , 192.168.1.44, 192.168.1.20  , ICMP    ,     11954.49,  11535.49,        11694,         461,    8.72,        1.03,           30.96, Normal , None
2026-09-01 14:13:10, Printer-01   , Printer      , 192.168.1.50, 192.168.1.1   , UDP     ,        80.94,     69.91,           65,           7,   50.26,        0.43,           39.04, Normal , None
2026-09-01 14:13:11, IoT-Sensor-02, IoT Sensor   , 192.168.1.54, 192.168.1.20  , UDP     ,       113.44,    117.18,          125,           2,   80.93,        2.02,           49.11, Normal , None
2026-09-01 14:13:12, IP-Camera-02 , IP Camera    , 192.168.1.46, 192.168.1.1   , UDP     ,      1724.3 ,   1461.86,         1811,           4,   75.7 ,        2.27,           21.12, Normal , None
2026-09-01 14:13:13, Laptop-06    , Laptop       , 192.168.1.25, 192.168.1.50  , ICMP    ,        81.74,     95.36,           84,          33,   37.04,        0.25,           45.17, Normal , None
2026-09-01 14:13:14, Laptop-09    , Laptop       , 192.168.1.28, 192.168.1.20  , ICMP    ,      3099.66,   1872.94,         1875,         672,  105.05,       15.59,           82.02, Anomaly, Combined Anomaly
2026-09-01 14:13:15, IP-Camera-02 , IP Camera    , 192.168.1.46, 192.168.1.50  , UDP     ,      3725.55,   4244.62,         3687,          15,   58.13,        1.12,           68.55, Normal , None
2026-09-01 14:13:16, Laptop-08    , Laptop       , 192.168.1.27, 192.168.1.1   , ICMP    ,       744.55,    737.43,          872,          12,   31.76,        0.0 ,           26.05, Normal , None
2026-09-01 14:13:17, Smartphone-03, Smartphone   , 192.168.1.32, 192.168.1.50  , TCP     ,       313.68,    369.41,          356,           9,   65.73,        2.49,           50.48, Normal , None
2026-09-01 14:13:18, Desktop-06   , Desktop      , 192.168.1.15, 192.168.1.1   , UDP     ,       961.28,    940.46,          773,           6,   31.24,        2.0 ,           22.38, Normal , None
2026-09-01 14:13:19, IoT-Sensor-04, IoT Sensor   , 192.168.1.56, 8.8.8.8       , UDP     ,       143.67,    151.68,          115,           3,   54.49,        3.93,           11.23, Normal , None
2026-09-01 14:13:20, IoT-Sensor-03, IoT Sensor   , 192.168.1.55, 192.168.1.50  , UDP     ,        18.18,     21.77,           18,           1,   82.68,        0.63,            5.02, Normal , None
2026-09-01 14:13:21, Smartphone-08, Smartphone   , 192.168.1.37, 192.168.1.20  , TCP     ,       400.86,    365.13,          383,           3,   31.66,        2.07,           16.21, Normal , None
2026-09-01 14:13:22, Printer-02   , Printer      , 192.168.1.51, 192.168.1.50  , UDP     ,        74.82,     76.25,           65,           6,   98.11,        2.37,           22.85, Normal , None
2026-09-01 14:13:23, Server-03    , Server       , 192.168.1.42, 192.168.1.100 , TCP     ,     83286.85,  68562.56,       101296,       11760,  222.51,       19.56,           98.47, Anomaly, Combined Anomaly
2026-09-01 14:13:24, IoT-Sensor-07, IoT Sensor   , 192.168.1.59, 192.168.1.1   , ICMP    ,        98.85,     88.47,           87,           5,   30.52,        0.02,           41.54, Normal , None
2026-09-01 14:13:25, Laptop-02    , Laptop       , 192.168.1.21, 192.168.1.20  , UDP     ,       524.46,    573.17,          504,          33,   39.42,        0.08,           66.23, Normal , None
2026-09-01 14:13:26, Smartphone-02, Smartphone   , 192.168.1.31, 192.168.1.50  , ICMP    ,        95.56,     78.33,           99,         108,   73.75,        0.6 ,           19.44, Anomaly, Excessive Connections
2026-09-01 14:13:27, Printer-02   , Printer      , 192.168.1.51, 192.168.1.1   , UDP     ,       143.04,    160.84,          142,           9,   46.37,        1.31,           34.91, Normal , None
2026-09-01 14:13:28, IoT-Sensor-05, IoT Sensor   , 192.168.1.57, 192.168.1.50  , UDP     ,        17.44,     20.72,           20,           5,  105.64,        1.6 ,           20.5 , Normal , None
2026-09-01 14:13:29, IP-Camera-05 , IP Camera    , 192.168.1.49, 192.168.1.50  , UDP     ,      1522.03,   1478.25,         1311,           5,   39.06,        0.48,           31.82, Normal , None
2026-09-01 14:13:30, Laptop-09    , Laptop       , 192.168.1.28, 192.168.1.100 , TCP     ,       257.82,    240.23,          209,           7,   67.72,        0.12,           37.29, Normal , None
2026-09-01 14:13:31, Smartphone-05, Smartphone   , 192.168.1.34, 8.8.8.8       , ICMP    ,      2186.68,   2456.38,         1065,          29,   50.84,        1.55,           53.53, Anomaly, Traffic Spike
2026-09-01 14:13:32, Desktop-01   , Desktop      , 192.168.1.10, 192.168.1.50  , ICMP    ,       144.54,    154.6 ,          128,          43,   18.7 ,        1.57,           43.05, Normal , None
2026-09-01 14:13:33, IoT-Sensor-02, IoT Sensor   , 192.168.1.54, 192.168.1.50  , UDP     ,       100.25,     85.18,           89,           2,   88.16,        2.46,           43.48, Normal , None
2026-09-01 14:13:34, IP-Camera-03 , IP Camera    , 192.168.1.47, 192.168.1.50  , TCP     ,      1621.51,   1360.05,         1908,           5,   32.89,        2.75,           57.83, Normal , None
2026-09-01 14:13:35, IoT-Sensor-07, IoT Sensor   , 192.168.1.59, 192.168.1.20  , UDP     ,        89.91,     89.1 ,           77,           1,   59.32,        2.28,           11.14, Normal , None
2026-09-01 14:13:36, IoT-Sensor-03, IoT Sensor   , 192.168.1.55, 192.168.1.50  , ICMP    ,       102.42,    121.57,           89,           2,   62.6 ,        0.07,            7.28, Normal , None
2026-09-01 14:13:37, Laptop-02    , Laptop       , 192.168.1.21, 192.168.1.1   , ICMP    ,        86.84,     90.93,           85,          19,   43.14,        1.28,           61.93, Normal , None
2026-09-01 14:13:38, IP-Camera-03 , IP Camera    , 192.168.1.47, 192.168.1.20  , TCP     ,      3449.74,   2790.68,         3813,           2,   46.36,        0.19,           66.73, Normal , None
2026-09-01 14:13:39, Desktop-10   , Desktop      , 192.168.1.19, 8.8.8.8       , ICMP    ,       814.65,    746.43,          665,        1144,   30.85,        0.79,           14.2 , Anomaly, Excessive Connections
2026-09-01 14:13:40, Desktop-09   , Desktop      , 192.168.1.18, 192.168.1.100 , TCP     ,       754.35,    626.87,          656,          31,   11.04,        0.37,           55.23, Normal , None
2026-09-01 14:13:41, Desktop-05   , Desktop      , 192.168.1.14, 192.168.1.1   , ICMP    ,       600.48,    661.83,          650,          10,   27.02,        1.24,           67.72, Normal , None
2026-09-01 14:13:42, Server-05    , Server       , 192.168.1.44, 192.168.1.1   , UDP     ,      2168.47,   2350.6 ,         2474,         286,   39.77,        0.8 ,           61.4 , Normal , None
2026-09-01 14:13:43, Laptop-02    , Laptop       , 192.168.1.21, 192.168.1.100 , UDP     ,       308.15,    331.16,          312,          39,   45.1 ,        1.41,           61.9 , Normal , None
2026-09-01 14:13:44, IP-Camera-04 , IP Camera    , 192.168.1.48, 192.168.1.100 , ICMP    ,      1644.4 ,   1555.0 ,         1545,           5,   62.68,        1.26,           51.71, Normal , None
2026-09-01 14:13:45, Laptop-04    , Laptop       , 192.168.1.23, 192.168.1.1   , ICMP    ,       646.94,    705.97,          625,         221,   49.0 ,        1.97,           42.82, Anomaly, Excessive Connections
2026-09-01 14:13:46, IP-Camera-02 , IP Camera    , 192.168.1.46, 192.168.1.50  , ICMP    ,      1432.36,   1430.02,         1382,          19,   85.51,        1.14,           28.57, Normal , None
2026-09-01 14:13:47, IoT-Sensor-04, IoT Sensor   , 192.168.1.56, 192.168.1.50  , TCP     ,        65.21,     76.03,           52,           8,   61.93,        2.83,           29.49, Normal , None
2026-09-01 14:13:48, Desktop-02   , Desktop      , 192.168.1.11, 192.168.1.20  , ICMP    ,       778.2 ,    731.35,          882,          49,   58.08,        0.95,           63.69, Normal , None
2026-09-01 14:13:49, Smartphone-04, Smartphone   , 192.168.1.33, 8.8.8.8       , ICMP    ,       237.55,    273.03,          207,          23,   52.0 ,        0.34,           39.11, Normal , None
2026-09-01 14:13:50, Laptop-08    , Laptop       , 192.168.1.27, 192.168.1.20  , TCP     ,       145.88,    171.14,          153,          31,   59.97,        1.8 ,           29.3 , Normal , None
2026-09-01 14:13:51, Laptop-07    , Laptop       , 192.168.1.26, 192.168.1.100 , UDP     ,       289.04,    340.93,          288,          30,   28.3 ,        1.92,           11.49, Normal , None
2026-09-01 14:13:52, IoT-Sensor-05, IoT Sensor   , 192.168.1.57, 8.8.8.8       , ICMP    ,       123.84,    145.92,          122,           5,  105.49,        0.63,           40.11, Normal , None
2026-09-01 14:13:53, Server-04    , Server       , 192.168.1.43, 192.168.1.20  , TCP     ,      5602.11,   5949.87,         6124,         417,   22.02,        0.44,           40.11, Normal , None
2026-09-01 14:13:54, Desktop-01   , Desktop      , 192.168.1.10, 192.168.1.100 , ICMP    ,       881.85,    931.14,          983,           7,   21.5 ,        1.22,           69.85, Normal , None
2026-09-01 14:13:55, Laptop-04    , Laptop       , 192.168.1.23, 192.168.1.20  , ICMP    ,       697.6 ,    738.63,          600,          31,   31.09,        1.51,           28.52, Normal , None
2026-09-01 14:13:56, Desktop-04   , Desktop      , 192.168.1.13, 192.168.1.20  , TCP     ,       571.61,    553.71,          591,           7,   57.65,        1.44,           97.56, Anomaly, High CPU
2026-09-01 14:13:57, Laptop-01    , Laptop       , 192.168.1.20, 192.168.1.50  , UDP     ,       721.78,    659.15,          689,          22,   55.49,        1.99,           64.59, Normal , None
2026-09-01 14:13:58, Smartphone-07, Smartphone   , 192.168.1.36, 192.168.1.1   , ICMP    ,      1366.88,   1165.24,         1064,          23,   29.48,        0.18,           14.41, Anomaly, Traffic Spike
2026-09-01 14:13:59, Desktop-09   , Desktop      , 192.168.1.18, 192.168.1.20  , TCP     ,       535.26,    520.74,          505,          35,   27.81,        1.95,           58.82, Normal , None
2026-09-01 14:14:00, Desktop-05   , Desktop      , 192.168.1.14, 8.8.8.8       , UDP     ,       374.81,    385.13,          364,           8,   34.64,        1.22,           41.09, Normal , None
2026-09-01 14:14:01, IP-Camera-02 , IP Camera    , 192.168.1.46, 192.168.1.1   , ICMP    ,      3463.7 ,   3607.52,         3680,          15,   95.82,        2.99,           51.48, Normal , None
2026-09-01 14:14:02, Smartphone-09, Smartphone   , 192.168.1.38, 8.8.8.8       , TCP     ,       185.61,    198.34,          182,          10,   46.77,        1.5 ,           21.01, Normal , None
2026-09-01 14:14:03, Laptop-10    , Laptop       , 192.168.1.29, 192.168.1.20  , TCP     ,       684.1 ,    817.64,          787,          11,   22.4 ,        1.33,           95.98, Anomaly, High CPU
2026-09-01 14:14:04, Smartphone-03, Smartphone   , 192.168.1.32, 8.8.8.8       , UDP     ,       257.06,    210.23,          274,          13,   27.7 ,        2.6 ,           50.62, Normal , None
2026-09-01 14:14:05, Smartphone-08, Smartphone   , 192.168.1.37, 192.168.1.50  , TCP     ,       215.16,    218.26,          255,          19,   30.82,        2.18,           34.2 , Normal , None
2026-09-01 14:14:06, Desktop-06   , Desktop      , 192.168.1.15, 8.8.8.8       , ICMP    ,       722.54,    658.84,          697,         492,   56.13,        0.32,           18.14, Anomaly, Excessive Connections
2026-09-01 14:14:07, IoT-Sensor-01, IoT Sensor   , 192.168.1.53, 192.168.1.50  , UDP     ,       103.29,    120.51,           83,           8,  494.83,        1.51,           41.0 , Anomaly, High Latency
2026-09-01 14:14:08, IP-Camera-04 , IP Camera    , 192.168.1.48, 192.168.1.20  , ICMP    ,      2455.79,   2600.06,         2164,           3,   80.22,        0.8 ,           45.81, Normal , None
2026-09-01 14:14:09, Server-04    , Server       , 192.168.1.43, 192.168.1.1   , ICMP    ,      4368.7 ,   4510.12,         5117,         358,   34.66,        1.71,           29.16, Normal , None
2026-09-01 14:14:10, Smartphone-08, Smartphone   , 192.168.1.37, 192.168.1.20  , UDP     ,       310.98,    370.48,          317,          24,   97.44,        1.37,           33.62, Normal , None
2026-09-01 14:14:11, Server-03    , Server       , 192.168.1.42, 8.8.8.8       , UDP     ,      5005.81,   5105.68,         4161,         276,   30.1 ,        1.13,           64.98, Normal , None
2026-09-01 14:14:12, Smartphone-03, Smartphone   , 192.168.1.32, 8.8.8.8       , ICMP    ,       139.96,    131.72,          128,           3,   60.85,        2.81,           20.13, Normal , None
2026-09-01 14:14:13, Desktop-03   , Desktop      , 192.168.1.12, 192.168.1.100 , ICMP    ,       937.62,    850.21,         1055,          28,   55.35,        0.48,           66.87, Normal , None
2026-09-01 14:14:14, Desktop-06   , Desktop      , 192.168.1.15, 192.168.1.1   , UDP     ,       863.23,    777.95,          540,          36,   44.44,        0.47,           60.21, Anomaly, Traffic Spike
2026-09-01 14:14:15, Smartphone-03, Smartphone   , 192.168.1.32, 192.168.1.50  , UDP     ,       283.36,    260.23,          276,           6,   76.08,        1.5 ,           52.02, Normal , None
2026-09-01 14:14:16, Server-01    , Server       , 192.168.1.40, 192.168.1.100 , TCP     ,      2509.47,   2425.29,         2588,         207,   30.28,        0.44,           56.82, Normal , None
2026-09-01 14:14:17, Server-01    , Server       , 192.168.1.40, 192.168.1.100 , UDP     ,      2596.51,   2939.27,         2578,         114,   27.76,        1.75,           75.03, Normal , None
2026-09-01 14:14:18, Desktop-01   , Desktop      , 192.168.1.10, 192.168.1.100 , TCP     ,       897.59,   1006.83,          796,          20,   13.41,        0.33,           56.52, Normal , None
2026-09-01 14:14:19, Laptop-02    , Laptop       , 192.168.1.21, 8.8.8.8       , UDP     ,       652.27,    734.38,          639,          36,   32.16,        1.64,           38.31, Normal , None
2026-09-01 14:14:20, Laptop-10    , Laptop       , 192.168.1.29, 192.168.1.20  , UDP     ,       643.68,    552.05,          748,          60,   69.16,        1.72,           50.21, Anomaly, Excessive Connections
2026-09-01 14:14:21, Smartphone-09, Smartphone   , 192.168.1.38, 192.168.1.100 , UDP     ,       188.38,    186.72,          202,          18,   83.26,        2.62,           44.13, Normal , None
2026-09-01 14:14:22, IoT-Sensor-04, IoT Sensor   , 192.168.1.56, 192.168.1.1   , TCP     ,        44.86,     41.6 ,           49,           6,   62.34,        1.5 ,           17.23, Normal , None
2026-09-01 14:14:23, Printer-03   , Printer      , 192.168.1.52, 192.168.1.20  , TCP     ,       189.85,    184.99,          212,           1,   56.65,        0.02,           13.57, Normal , None
2026-09-01 14:14:24, Smartphone-05, Smartphone   , 192.168.1.34, 8.8.8.8       , TCP     ,       145.15,    169.15,          125,           7,   95.09,        1.8 ,           11.42, Normal , None
2026-09-01 14:14:25, Laptop-07    , Laptop       , 192.168.1.26, 192.168.1.100 , ICMP    ,       471.34,    559.99,          434,           7,   25.4 ,        0.77,           16.78, Normal , None
2026-09-01 14:14:26, Smartphone-04, Smartphone   , 192.168.1.33, 8.8.8.8       , ICMP    ,        93.6 ,    102.56,           99,           5,   58.81,        1.81,           57.15, Normal , None
2026-09-01 14:14:27, IoT-Sensor-01, IoT Sensor   , 192.168.1.53, 192.168.1.100 , UDP     ,        42.61,     38.89,           36,           7,   75.86,        0.43,           21.63, Normal , None
2026-09-01 14:14:28, Smartphone-07, Smartphone   , 192.168.1.36, 8.8.8.8       , ICMP    ,       107.88,    103.44,           90,          23,   85.03,        1.12,           18.88, Normal , None
2026-09-01 14:14:29, IoT-Sensor-05, IoT Sensor   , 192.168.1.57, 192.168.1.20  , ICMP    ,        63.61,     74.34,           58,         138,   43.88,        1.8 ,           14.98, Anomaly, Excessive Connections
2026-09-01 14:14:30, Smartphone-02, Smartphone   , 192.168.1.31, 192.168.1.50  , UDP     ,       143.3 ,    144.18,          132,          15,   50.01,        2.4 ,           45.37, Normal , None
2026-09-01 14:14:31, Smartphone-09, Smartphone   , 192.168.1.38, 192.168.1.50  , UDP     ,       490.82,    573.79,          535,          10,   66.01,        2.88,           38.84, Normal , None
2026-09-01 14:14:32, Laptop-05    , Laptop       , 192.168.1.24, 8.8.8.8       , ICMP    ,       708.08,    729.0 ,          793,          91,   41.32,        0.26,           55.2 , Anomaly, Excessive Connections
2026-09-01 14:14:33, IP-Camera-03 , IP Camera    , 192.168.1.47, 8.8.8.8       , ICMP    ,      2257.4 ,   2368.29,         2598,          18,   29.45,        0.72,           39.18, Normal , None
2026-09-01 14:14:34, IP-Camera-01 , IP Camera    , 192.168.1.45, 192.168.1.20  , TCP     ,      1898.1 ,   2150.64,         2147,          14,   97.23,        2.77,           65.62, Normal , None
2026-09-01 14:14:35, Laptop-03    , Laptop       , 192.168.1.22, 192.168.1.50  , ICMP    ,       452.63,    538.68,          505,          27,   69.19,        0.94,           52.84, Normal , None
2026-09-01 14:14:36, Laptop-07    , Laptop       , 192.168.1.26, 8.8.8.8       , TCP     ,       649.08,    610.06,          738,          33,   53.7 ,        1.45,           41.95, Normal , None
2026-09-01 14:14:37, Smartphone-01, Smartphone   , 192.168.1.30, 192.168.1.20  , ICMP    ,       404.02,    323.6 ,          377,           9,   85.34,        1.46,           41.57, Normal , None
2026-09-01 14:14:38, Laptop-09    , Laptop       , 192.168.1.28, 192.168.1.50  , ICMP    ,       772.4 ,    720.55,          827,          13,   47.0 ,        0.27,           40.05, Normal , None
2026-09-01 14:14:39, IoT-Sensor-04, IoT Sensor   , 192.168.1.56, 192.168.1.20  , TCP     ,        69.72,     75.01,           62,           7,   78.62,        2.15,           20.6 , Normal , None
2026-09-01 14:14:40, Server-01    , Server       , 192.168.1.40, 8.8.8.8       , TCP     ,      6928.18,   8126.0 ,         7942,         191,   34.76,        0.97,           27.87, Normal , None
2026-09-01 14:14:41, Smartphone-10, Smartphone   , 192.168.1.39, 8.8.8.8       , TCP     ,        87.09,     93.91,          104,          19,   85.11,        2.82,           22.85, Normal , None
2026-09-01 14:14:42, Desktop-09   , Desktop      , 192.168.1.18, 192.168.1.100 , TCP     ,       628.74,    700.49,          707,          19,   15.58,        0.44,           23.53, Normal , None
2026-09-01 14:14:43, Server-05    , Server       , 192.168.1.44, 192.168.1.50  , ICMP    ,     12831.33,  13891.36,        13934,         308,   19.11,        1.67,           78.28, Normal , None
2026-09-01 14:14:44, IoT-Sensor-06, IoT Sensor   , 192.168.1.58, 192.168.1.50  , UDP     ,        86.51,     74.71,           75,           3,   44.15,        1.18,           22.16, Normal , None
2026-09-01 14:14:45, IoT-Sensor-01, IoT Sensor   , 192.168.1.53, 192.168.1.100 , TCP     ,       137.33,    135.3 ,          125,           4,   99.46,        0.85,           27.71, Normal , None
2026-09-01 14:14:46, IoT-Sensor-07, IoT Sensor   , 192.168.1.59, 192.168.1.1   , TCP     ,       118.04,    111.2 ,           98,           3,   34.22,        3.27,            8.41, Normal , None
2026-09-01 14:14:47, Laptop-10    , Laptop       , 192.168.1.29, 192.168.1.100 , TCP     ,       163.05,    179.49,          156,          29,   55.95,        0.77,           52.78, Normal , None
2026-09-01 14:14:48, Laptop-10    , Laptop       , 192.168.1.29, 192.168.1.20  , UDP     ,      6572.18,   5472.1 ,         6030,          21,   53.79,        1.35,           20.87, Anomaly, Traffic Spike
2026-09-01 14:14:49, Printer-02   , Printer      , 192.168.1.51, 192.168.1.20  , ICMP    ,        57.73,     67.84,           51,           5,   20.51,        1.93,           23.73, Normal , None
2026-09-01 14:14:50, Laptop-01    , Laptop       , 192.168.1.20, 192.168.1.50  , UDP     ,       317.27,    319.12,          374,          10,   64.76,        1.04,           21.87, Normal , None
2026-09-01 14:14:51, Laptop-09    , Laptop       , 192.168.1.28, 192.168.1.50  , UDP     ,       688.68,    681.96,          805,          19,   49.87,        1.37,           14.72, Normal , None
2026-09-01 14:14:52, Laptop-02    , Laptop       , 192.168.1.21, 192.168.1.50  , TCP     ,       408.62,    434.49,          372,           7,   57.68,        1.12,           51.51, Normal , None
2026-09-01 14:14:53, IoT-Sensor-06, IoT Sensor   , 192.168.1.58, 192.168.1.50  , ICMP    ,        17.34,     14.7 ,           18,           2,   99.32,        2.5 ,           47.19, Normal , None
2026-09-01 14:14:54, IoT-Sensor-07, IoT Sensor   , 192.168.1.59, 192.168.1.100 , TCP     ,        41.61,     36.74,           45,           8,  105.08,        1.14,           20.21, Normal , None
2026-09-01 14:14:55, IoT-Sensor-02, IoT Sensor   , 192.168.1.54, 8.8.8.8       , ICMP    ,        73.56,     82.77,           80,           8,  113.83,        0.09,           31.65, Normal , None
2026-09-01 14:14:56, Printer-03   , Printer      , 192.168.1.52, 192.168.1.20  , ICMP    ,        15.54,     17.04,           16,           9,   80.03,        1.45,           30.96, Normal , None
2026-09-01 14:14:57, IoT-Sensor-03, IoT Sensor   , 192.168.1.55, 192.168.1.1   , TCP     ,        23.18,     19.47,           27,           5,   80.39,        3.6 ,           41.85, Normal , None
2026-09-01 14:14:58, Laptop-09    , Laptop       , 192.168.1.28, 192.168.1.50  , UDP     ,       430.75,    354.66,          457,          13,   61.36,        1.93,           36.99, Normal , None
2026-09-01 14:14:59, Desktop-09   , Desktop      , 192.168.1.18, 192.168.1.1   , TCP     ,       610.8 ,    609.03,          720,          27,   16.5 ,        1.41,           66.34, Normal , None
2026-09-01 14:15:00, Smartphone-08, Smartphone   , 192.168.1.37, 192.168.1.20  , ICMP    ,      1693.01,   2194.65,         2500,         200,  272.11,       29.77,           82.52, Anomaly, Combined Anomaly
2026-09-01 14:15:01, Laptop-01    , Laptop       , 192.168.1.20, 8.8.8.8       , UDP     ,       409.76,    342.91,          408,          20,   26.01,        0.32,           10.44, Normal , None
2026-09-01 14:15:02, Laptop-10    , Laptop       , 192.168.1.29, 192.168.1.1   , UDP     ,       252.87,    254.64,          246,           6,   51.57,        1.37,           44.27, Normal , None
2026-09-01 14:15:03, IP-Camera-03 , IP Camera    , 192.168.1.47, 192.168.1.100 , ICMP    ,      3785.83,   4409.36,         3474,          16,  196.76,        0.94,           41.34, Anomaly, High Latency
2026-09-01 14:15:04, Desktop-03   , Desktop      , 192.168.1.12, 192.168.1.50  , ICMP    ,       856.4 ,    750.65,          829,          42,   56.93,        1.35,           37.15, Normal , None
2026-09-01 14:15:05, IP-Camera-01 , IP Camera    , 192.168.1.45, 192.168.1.1   , UDP     ,      3462.99,   3540.1 ,         2939,          19,   62.83,        1.36,           62.44, Normal , None
2026-09-01 14:15:06, Printer-03   , Printer      , 192.168.1.52, 8.8.8.8       , UDP     ,        35.59,     30.48,           42,           1,   23.44,        1.75,           38.86, Normal , None
